# time (hhmmss),heat->kettle,kettle->air,kettle->boil,condenser->air,alc->condenser,alc->output,H2O->condenser,H2O output
000001,3000.000000,0.000000,0.000000,0.000000,7833.198242,2094.285889,3157.935303,1027.948608
000002,3000.000000,4.590836,0.000000,1.232484,7833.198242,2094.285889,3157.935303,1027.948608
000003,3000.000000,9.174676,0.000000,2.463091,7833.198242,2094.285889,3157.935303,1027.948608
000004,3000.000000,13.751450,0.000000,3.691800,7833.198242,2094.285889,3157.935303,1027.948608
000005,3000.000000,18.321226,0.000000,4.918630,8299.405273,2218.930908,3351.329834,1090.901001
000006,3000.000000,22.884007,0.000000,6.143583,8299.405273,2218.930908,3351.329834,1090.901001
000007,3000.000000,27.439793,0.000000,7.366657,8299.405273,2218.930908,3351.329834,1090.901001
000008,3000.000000,31.988581,0.000000,8.587853,8789.407227,2349.937988,3554.944824,1157.180298
000009,3000.000000,36.530373,0.000000,9.807172,8789.407227,2349.937988,3554.944824,1157.180298
000010,3000.000000,41.065170,0.000000,11.024611,8789.407227,2349.937988,3554.944824,1157.180298
000011,3000.000000,45.593044,0.000000,12.240192,8789.407227,2349.937988,3554.944824,1157.180298
000012,3000.000000,50.113922,0.000000,13.453895,9304.208008,2487.575195,3769.230469,1226.932983
000013,3000.000000,54.627872,0.000000,14.665739,9304.208008,2487.575195,3769.230469,1226.932983
000014,3000.000000,59.134899,0.000000,15.875723,9304.208008,2487.575195,3769.230469,1226.932983
000015,3000.000000,63.635002,0.000000,17.083849,9844.836914,2632.117920,3994.649658,1300.309937
000016,3000.000000,68.128250,0.000000,18.290134,9844.836914,2632.117920,3994.649658,1300.309937
000017,3000.000000,72.614578,0.000000,19.494562,9844.836914,2632.117920,3994.649658,1300.309937
000018,3000.000000,77.094055,0.000000,20.697149,9844.836914,2632.117920,3994.649658,1300.309937
000019,3000.000000,81.566597,0.000000,21.897877,10412.359375,2783.850830,4231.683105,1377.467285
000020,3000.000000,86.032295,0.000000,23.096766,10412.359375,2783.850830,4231.683105,1377.467285
000021,3000.000000,90.491135,0.000000,24.293814,10412.359375,2783.850830,4231.683105,1377.467285
000022,3000.000000,94.943192,0.000000,25.489040,10412.359375,2783.850830,4231.683105,1377.467285
000023,3000.000000,99.388397,0.000000,26.682428,11007.874023,2943.067871,4480.827637,1458.567139
000024,3000.000000,103.826752,0.000000,27.873976,11007.874023,2943.067871,4480.827637,1458.567139
000025,3000.000000,108.258324,0.000000,29.063704,11007.874023,2943.067871,4480.827637,1458.567139
000026,3000.000000,112.683113,0.000000,30.251610,11007.874023,2943.067871,4480.827637,1458.567139
000027,3000.000000,117.101120,0.000000,31.437696,11632.513672,3110.071533,4742.596680,1543.776245
000028,3000.000000,121.512352,0.000000,32.621960,11632.513672,3110.071533,4742.596680,1543.776245
000029,3000.000000,125.916794,0.000000,33.804405,11632.513672,3110.071533,4742.596680,1543.776245
000030,3000.000000,130.314453,0.000000,34.985027,11632.513672,3110.071533,4742.596680,1543.776245
000031,3000.000000,134.705414,0.000000,36.163853,12287.447266,3285.174805,5017.519043,1633.267090
000032,3000.000000,139.089584,0.000000,37.340855,12287.447266,3285.174805,5017.519043,1633.267090
000033,3000.000000,143.467041,0.000000,38.516052,12287.447266,3285.174805,5017.519043,1633.267090
000034,3000.000000,147.837784,0.000000,39.689453,12973.876953,3468.698730,5306.142090,1727.217529
000035,3000.000000,152.201828,0.000000,40.861050,12973.876953,3468.698730,5306.142090,1727.217529
000036,3000.000000,156.559158,0.000000,42.030846,12973.876953,3468.698730,5306.142090,1727.217529
000037,3000.000000,160.909851,0.000000,43.198856,12973.876953,3468.698730,5306.142090,1727.217529
000038,3000.000000,165.253830,0.000000,44.365070,13693.036133,3660.973389,5609.028320,1825.810913
000039,3000.000000,169.591171,0.000000,45.529499,13693.036133,3660.973389,5609.028320,1825.810913
000040,3000.000000,173.921860,0.000000,46.692146,13693.036133,3660.973389,5609.028320,1825.810913
000041,3000.000000,178.245865,0.000000,47.852993,13693.036133,3660.973389,5609.028320,1825.810913
000042,3000.000000,182.563278,0.000000,49.012074,13693.036133,3660.973389,5609.028320,1825.810913
000043,3000.000000,186.874069,0.000000,50.169373,14446.209961,3862.342041,5926.761719,1929.237183
000044,3000.000000,191.178207,0.000000,51.324890,14446.209961,3862.342041,5926.761719,1929.237183
000045,3000.000000,195.475784,0.000000,52.478645,14446.209961,3862.342041,5926.761719,1929.237183
000046,3000.000000,199.766724,0.000000,53.630619,15234.704102,4073.154297,6259.943359,2037.692139
000047,3000.000000,204.051102,0.000000,54.780827,15234.704102,4073.154297,6259.943359,2037.692139
000048,3000.000000,208.328903,0.000000,55.929272,15234.704102,4073.154297,6259.943359,2037.692139
000049,3000.000000,212.600143,0.000000,57.075954,15234.704102,4073.154297,6259.943359,2037.692139
000050,3000.000000,216.864807,0.000000,58.220875,16059.877930,4293.772949,6609.189941,2151.376221
000051,3000.000000,221.122971,0.000000,59.364048,16059.877930,4293.772949,6609.189941,2151.376221
000052,3000.000000,225.374588,0.000000,60.505463,16059.877930,4293.772949,6609.189941,2151.376221
000053,3000.000000,229.619690,0.000000,61.645130,16059.877930,4293.772949,6609.189941,2151.376221
000054,3000.000000,233.858231,0.000000,62.783035,16923.111328,4524.567383,6975.142090,2270.498535
000055,3000.000000,238.090271,0.000000,63.919197,16923.111328,4524.567383,6975.142090,2270.498535
000056,3000.000000,242.315826,0.000000,65.053612,16923.111328,4524.567383,6975.142090,2270.498535
000057,3000.000000,246.534943,0.000000,66.186302,16923.111328,4524.567383,6975.142090,2270.498535
000058,3000.000000,250.747574,0.000000,67.317253,17825.833984,4765.918945,7358.454102,2395.271484
000059,3000.000000,254.953705,0.000000,68.446457,17825.833984,4765.918945,7358.454102,2395.271484
000100,3000.000000,259.153412,0.000000,69.573936,17825.833984,4765.918945,7358.454102,2395.271484
